Specie,quantile,Weight males (kg),Weight females (kg),Birth weight males (kg),Birth weight females (kg),Age maturity males (months),Age maturity females (months),Age breeding males (months),Age breeding females (months),Age first parturition AVG (months),Age first parturition MIN (months),Age first parturition MAX (months),Parturition interval AVG (day),Parturition interval MIN (day),Parturition interval MAX (day),Length productive life (year),Daily gain (g),Carcass weight (kg),Dressing percentage (%),Litter size AVG (number),Litter size MIN (number),Litter size MAX (number),Young per year AVG (number)
Pig,0.995,430.0,325.0,3.219999999999999,2.5974999999999966,12.449999999999974,14.970000000000027,48.0,60.0,34.41,17.795000000000016,28.17,391.42499999999933,322.3499999999999,893.0,11.0,1047.6519999999996,210.59999999999988,81.18900000000001,16.226,13.525099999999986,32.485,307.22571428571496
Rabbit,0.005,1.25,1.25,0.05,0.05,3.848,3.8089999999999997,5.0,4.02,5.005,4.0,6.0,14.375,14.23,16.27,2.0,4.445,0.87385,48.22,5.4092,4.11,5.5721,62.44073717948718
Rabbit,0.05,2.1875,2.0,0.05,0.05,4.28,3.8899999999999997,5.0,4.2,5.05,4.0,6.0,17.75,16.3,18.7,2.0,12.950000000000001,0.9085,50.094,5.4830000000000005,5.1,5.6045,62.58814102564102
Rabbit,0.25,2.925,2.75,0.05,0.05,5.0,4.5,5.0,5.0,5.25,4.0,6.0,32.75,25.5,29.5,3.0,25.61,1.44,57.35,5.9675,6.0,6.887499999999999,63.24326923076923
Rabbit,0.5,3.8,3.5,0.06,0.053,6.0,5.25,5.5,6.0,5.5,4.0,6.0,44.5,37.0,43.0,3.0,28.0,1863.0,58.7,6.7,6.26,8.0,64.06217948717949
Rabbit,0.75,4.5,4.275,0.06,0.06,6.0,6.75,6.5,8.0,5.75,4.0,6.0,53.75,48.5,56.5,4.0,30.735,2297.75,60.42,7.25,7.0,9.0,64.88108974358974
Rabbit,0.95,6.175,6.0,289.9759999999999,27.6665,9.599999999999998,9.099999999999998,7.699999999999999,8.0,5.95,4.0,6.0,62.74999999999999,57.699999999999996,67.3,6.499999999999995,39.27,2782.95,62.446,8.849999999999998,8.0,11.899999999999999,65.53621794871795
Rabbit,0.995,8.600000000000023,7.572500000000005,433.9976,52.509649999999965,11.76,9.91,7.97,8.0,5.995,4.0,6.0,64.775,59.77,69.72999999999999,9.649999999999999,40.845,2837.895,63.5769,9.0,8.0,12.0,65.6836217948718
Sheep,0.005,22.808,17.595000000000002,1.5,1.2,4.21,4.15,6.0,5.885,7.0,7.675,12.0,17.509999999999998,84.965,149.905,3.0,33.685,5.517099999999999,37.666000000000004,1.0,0.9085,1.05,0.8978952380952381
Sheep,0.05,31.01,25.0,2.0,1.6450000000000002,6.0,6.0,6.0,6.0,11.100000000000001,11.0,14.75,150.0,145.0,155.0,4.0,81.7,7.5,42.0,1.0,1.0,1.1,1.04
Sheep,0.25,50.125,40.0,2.84,2.525,7.0,8.0,12.0,12.0,14.0,12.0,18.0,240.0,145.0,155.0,6.0,141.25,13.0,45.6,1.1,1.0,1.48,1.3
Sheep,0.5,72.0,51.0,3.5,3.2,10.0,10.0,18.0,18.0,18.0,15.0,21.5,304.0,220.0,313.5,7.0,200.0,19.0,48.45,1.27,1.0,2.0,1.7016666666666667
Sheep,0.75,95.0,66.0,4.1,3.75,12.0,12.0,36.0,48.0,20.0,18.0,24.0,365.0,297.5,381.25,8.0,254.25,23.25,52.0,1.54,1.05,3.0,2.5002500000000003
Sheep,0.95,120.0,82.91,5.0,4.621999999999998,18.0,18.0,48.0,60.0,24.0,23.650000000000006,29.0,365.0,335.0,416.9999999999999,9.0,350.0,40.0,59.74,2.023999999999995,1.4,4.0,3.041666666666667
Sheep,0.995,140.0,100.61799999999991,46.0,44.0,25.579999999999984,18.849999999999994,60.02999999999997,75.0,29.560000000000002,27.059999999999945,36.0,369.525,365.0,545.8499999999999,12.0,479.44999999999993,50.0,65.4175,31.465000000002817,2.8810000000000087,6.0,5.433880632789976
